,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
4556,EUR_USD,S5,False,1,2022-01-06T08:25:15.000000000Z,1.12963,1.12963,1.12963,1.12963
4569,EUR_USD,S5,True,1,2022-01-06T08:25:15.000000000Z,1.12963,1.12963,1.12963,1.12963
4573,EUR_USD,S5,False,2,2022-01-06T08:25:20.000000000Z,1.12964,1.12965,1.12964,1.12965
4578,EUR_USD,S5,False,4,2022-01-06T08:25:20.000000000Z,1.12964,1.12968,1.12964,1.12968
4581,EUR_USD,S5,False,20,2022-01-06T08:25:20.000000000Z,1.12964,1.12982,1.12964,1.12982
4582,EUR_USD,S5,False,21,2022-01-06T08:25:20.000000000Z,1.12964,1.12982,1.12964,1.12982
4585,EUR_USD,S5,False,24,2022-01-06T08:25:20.000000000Z,1.12964,1.12982,1.12964,1.12982
4587,EUR_USD,S5,True,24,2022-01-06T08:25:20.000000000Z,1.12964,1.12982,1.12964,1.12982
4590,EUR_USD,S5,False,2,2022-01-06T08:25:25.000000000Z,1.12981,1.12982,1.12981,1.12982
4591,EUR_USD,S5,False,3,2022-01-06T08:25:25.000000000Z,1.12981,1.12983,1.12981,1.12983
4605,EUR_USD,S5,True,3,2022-01-06T08:25:25.000000000Z,1.12981,1.12983,1.12981,1.12983
4607,EUR_USD,S5,False,8,2022-01-06T08:25:30.000000000Z,1.12986,1.12992,1.12986,1.12988
4608,EUR_USD,S5,False,9,2022-01-06T08:25:30.000000000Z,1.12986,1.12992,1.12986,1.12986
4614,EUR_USD,S5,False,10,2022-01-06T08:25:30.000000000Z,1.12986,1.12992,1.12986,1.12988
4620,EUR_USD,S5,False,11,2022-01-06T08:25:30.000000000Z,1.12986,1.12992,1.12986,1.12986
4635,EUR_USD,S5,False,1,2022-01-06T08:25:35.000000000Z,1.12988,1.12988,1.12988,1.12988
4650,EUR_USD,S5,False,3,2022-01-06T08:25:40.000000000Z,1.12989,1.12993,1.12989,1.12993
4652,EUR_USD,S5,True,3,2022-01-06T08:25:40.000000000Z,1.12989,1.12993,1.12989,1.12993
4655,EUR_USD,S5,False,1,2022-01-06T08:25:45.000000000Z,1.12994,1.12994,1.12994,1.12994
4656,EUR_USD,S5,False,2,2022-01-06T08:25:45.000000000Z,1.12994,1.12996,1.12994,1.12996
4658,EUR_USD,S5,False,3,2022-01-06T08:25:45.000000000Z,1.12994,1.12996,1.12994,1.12994
4668,EUR_USD,S5,True,3,2022-01-06T08:25:45.000000000Z,1.12994,1.12996,1.12994,1.12994
4669,EUR_USD,S5,False,1,2022-01-06T08:25:50.000000000Z,1.12994,1.12994,1.12994,1.12994
4685,EUR_USD,S5,False,4,2022-01-06T08:25:55.000000000Z,1.12995,1.12998,1.12995,1.12997
4689,EUR_USD,S5,False,6,2022-01-06T08:25:55.000000000Z,1.12995,1.12998,1.12995,1.12997
4692,EUR_USD,S5,False,8,2022-01-06T08:25:55.000000000Z,1.12995,1.12998,1.12995,1.12997
4694,EUR_USD,S5,False,9,2022-01-06T08:25:55.000000000Z,1.12995,1.12998,1.12995,1.12998
